sentence,word,translated,tips,course,sequence
"Hello, how are you today?",,,,test,1
The quick brown fox jumps over the lazy dog.,,,,test,2
Practice makes perfect.,,練習すれば完璧になります。,,test,3
I’ll catch up with you later.,,後で追いつきますね。,,beginner,1
That’s a piece of cake.,,簡単なことです。,,beginner,2
Can you give me a hand with this?,,これを手伝ってもらえますか？,,beginner,3
I’m a bit under the weather today.,,今日は少し体調が悪いです。,,beginner,4
Let’s grab some coffee.,,コーヒーを飲みに行きましょう。,,beginner,5
I’m just going to chill this weekend.,,今週末はリラックスするだけです。,,beginner,6
It slipped my mind completely.,,完全に忘れていました。,,beginner,7
I’ll be with you in a minute.,,すぐにそちらに行きます。,,beginner,8
She’s got a knack for solving problems.,,彼女は問題解決が得意です。,,beginner,9
Let’s play it by ear.,,臨機応変にやりましょう。,,beginner,10
I’m running a little late.,,少し遅れています。,,beginner,11
"Don’t worry, it’s no big deal.",,心配しないで、大したことじゃないよ。,,beginner,12
I’ll drop you a line when I’m free.,,時間ができたら連絡するね。,,beginner,13
I’m feeling a little out of sorts today.,,今日は少し調子が悪いです。,,beginner,14
It’s right around the corner.,,すぐそこだよ。,,beginner,15
Could you fill me in on the details?,,詳細を教えてもらえますか？,,beginner,16
Let’s keep it low-key tonight.,,今夜は静かに過ごそう。,,beginner,17
I’m swamped with work right now.,,今、仕事に追われています。,,beginner,18
Can you hold on for a sec?,,少し待てますか？,,beginner,19
That’s the last thing I expected.,,全く予想していなかった。,,beginner,20
I’m all ears. What’s the plan?,,何か計画はある？,,beginner,21
I’m in the middle of something right now.,,今は少し忙しいです。,,beginner,22
He’s a bit of a night owl.,,彼は夜型です。,,beginner,23
Let’s touch base tomorrow.,,明日連絡を取りましょう。,,beginner,24
"I’m not sure, but I’ll give it a shot.",,確信はないけど、試してみます。,,beginner,25
"You’re cutting it a bit close, aren’t you?",,ちょっとギリギリじゃない？,,beginner,26
Let me know if you’re free this weekend.,,今週末空いているか教えてください。,,beginner,27
I’ll get back to you as soon as I can.,,できるだけ早く返信します。,,beginner,28
He’s not feeling up to it today.,,今日は調子が悪そうです。,,beginner,29
That’s easier said than done.,,言うのは簡単だけどね。,,beginner,30
Let’s circle back on that later.,,それについては後で話し合いましょう。,,beginner,31
Can we touch base next week?,,来週連絡を取り合えますか？,,beginner,32
I’m looking forward to our meeting.,,会議を楽しみにしています。,,beginner,33
Let’s get the ball rolling on this project.,,このプロジェクトを始めましょう。,,beginner,34
I’ll keep you in the loop.,,進捗をお知らせします。,,beginner,35
Can you take the lead on this task?,,このタスクをリードしてもらえますか？,,beginner,36
Let’s brainstorm some ideas.,,アイデアを出し合いましょう。,,beginner,37
I’ll pencil that in for 2 p.m.,,それを午後2時に予定しておきます。,,beginner,38
We need to prioritize our tasks.,,タスクの優先順位を決める必要があります。,,beginner,39
That’s a win-win situation.,,それはウィンウィンの状況です。,,beginner,40
Let’s schedule a follow-up meeting.,,次回の会議を予定しましょう。,,beginner,41
I’ll reach out to them this afternoon.,,今日の午後に連絡します。,,beginner,42
Can we table this discussion for now?,,この議論は一旦保留にできますか？,,beginner,43
Let’s take this offline and discuss it further.,,これについては後で直接話しましょう。,,beginner,44
I’m going to run it by my manager.,,マネージャーに相談します。,,beginner,45
Can you give me an update on the progress?,,進捗を教えてもらえますか？,,beginner,46
Let’s align on our goals before moving forward.,,前に進む前に目標を一致させましょう。,,beginner,47
I’ll shoot you an email with the details.,,詳細をメールで送りますね。,,beginner,48
We need to focus on the big picture.,,大局に焦点を当てる必要があります。,,beginner,49
Let’s double-check the numbers before we proceed.,,進む前に数値を再確認しましょう。,,beginner,50
I’d like to pick your brain on this matter.,,この件についてあなたの意見を聞きたいです。,,beginner,51
Could you loop me in on that conversation?,,その会話に私も入れてもらえますか？,,beginner,52
We should touch base with the client.,,クライアントと連絡を取り合いましょう。,,beginner,53
I’ll need to follow up on that.,,その件について追って確認します。,,beginner,54
Can you give me some background on this project?,,このプロジェクトの背景を教えてもらえますか？,,beginner,55
Let’s drill down into the details.,,詳細を掘り下げてみましょう。,,beginner,56
We need to meet our deadlines.,,締め切りに間に合わせる必要があります。,,beginner,57
That’s a bit of a gray area.,,それは少し曖昧ですね。,,beginner,58
Let’s set some action items for next steps.,,次のステップのためにアクション項目を設定しましょう。,,beginner,59
I’d like to get your thoughts on this proposal.,,この提案についてあなたの考えを聞きたいです。,,beginner,60
The cat sat on a hat.,,猫が帽子の上に座っています。,,phonics_beginner,1
The sun is big and hot.,,太陽は大きくて暑いです。,,phonics_beginner,2
The pig hid in the mud.,,豚は泥の中に隠れました。,,phonics_beginner,3
We can hop on the log.,,私たちは丸太の上で跳ぶことができます。,,phonics_beginner,4
The red bug ran fast.,,赤い虫が速く走りました。,,phonics_beginner,5
She has a red cup.,,彼女は赤いカップを持っています。,,phonics_beginner,6
The dog dug a hole.,,犬が穴を掘りました。,,phonics_beginner,7
The bat can fly high.,,コウモリは高く飛べます。,,phonics_beginner,8
The big rat ran fast.,,大きなネズミが速く走りました。,,phonics_beginner,9
I see a man with a van.,,私はバンに乗った男を見ました。,,phonics_beginner,10
The hen is in the pen.,,ニワトリは囲いの中にいます。,,phonics_beginner,11
The frog can jump.,,カエルはジャンプできます。,,phonics_beginner,12
The bug is on the rug.,,虫が敷物の上にいます。,,phonics_beginner,13
We see the big sun.,,私たちは大きな太陽を見ます。,,phonics_beginner,14
The fox ran to the box.,,キツネは箱に向かって走りました。,,phonics_beginner,15
The pig has a wig.,,豚はかつらを持っています。,,phonics_beginner,16
The duck is in the pond.,,アヒルは池の中にいます。,,phonics_beginner,17
The kid hid in the shed.,,子供は小屋の中に隠れました。,,phonics_beginner,18
The man can clap.,,男は拍手ができます。,,phonics_beginner,19
The bat is in the cave.,,コウモリは洞窟の中にいます。,,phonics_beginner,20
Charlie likes to chase chickens.,,チャーリーはニワトリを追いかけるのが好きです。,,phonics_beginner,21
The whale swam in the sea.,,クジラは海を泳ぎました。,,phonics_beginner,22
I took a photo of my phone.,,私は電話の写真を撮りました。,,phonics_beginner,23
The duck is on the back of the truck.,,アヒルはトラックの後ろに乗っています。,,phonics_beginner,24
The king has a big ring.,,王様は大きな指輪を持っています。,,phonics_beginner,25
The tree has three green leaves.,,木には三つの緑の葉があります。,,phonics_beginner,26
It started to rain on the train.,,電車に雨が降り始めました。,,phonics_beginner,27
The goat on the boat is wearing a coat.,,ボートに乗っているヤギはコートを着ています。,,phonics_beginner,28
The dog dug in the mud.,,犬が泥の中を掘りました。,,phonics_beginner,29
We saw a big fish in the dish.,,私たちは皿の中の大きな魚を見ました。,,phonics_beginner,30
The pig ran to the big fig tree.,,豚は大きなイチジクの木へと走りました。,,phonics_beginner,31
I will hop and pop on top of the log.,,丸太の上で跳びはね、ポンと音を立てます。,,phonics_beginner,32
The kite flew high in the sky.,,凧が空高く飛びました。,,phonics_beginner,33
She likes to bake a cake with Jake.,,彼女はジェイクと一緒にケーキを焼くのが好きです。,,phonics_beginner,34
The bell rang when the shell fell.,,貝殻が落ちたときに鐘が鳴りました。,,phonics_beginner,35
The fox hid in a box with socks.,,キツネは靴下と一緒に箱の中に隠れました。,,phonics_beginner,36
The bird sings sweet songs in spring.,,鳥は春に甘い歌を歌います。,,phonics_beginner,37
The frog jumps fast in the pond.,,カエルは池の中で速くジャンプします。,,phonics_beginner,38
The cat sat on the mat.,,猫がマットの上に座っています。,,phonics_beginner,39
She has a shiny shell.,,彼女は光沢のある貝殻を持っています。,,phonics_beginner,40
The cat and the rat sat on the mat.,,猫とネズミがマットの上に座っています。,,phonics_beginner,41
The frog jumps up and down in the pond.,,カエルは池の中で上下に跳びます。,,phonics_beginner,42
She made a big cake for the picnic.,,彼女はピクニックのために大きなケーキを作りました。,,phonics_beginner,43
The dog ran fast to catch the ball.,,犬はボールを追いかけて速く走りました。,,phonics_beginner,44
He can swim like a fish in the pool.,,彼はプールの中で魚のように泳ぎます。,,phonics_beginner,45
The bird sings in the tall tree.,,鳥は高い木の中で歌っています。,,phonics_beginner,46
I can hop on one foot all day.,,私は一日中片足で跳ぶことができます。,,phonics_beginner,47
The fox hides in the thick bush.,,キツネは茂みの中に隠れています。,,phonics_beginner,48
The man has a big red hat.,,男は大きな赤い帽子を持っています。,,phonics_beginner,49
The sun is shining bright today.,,今日、太陽が明るく輝いています。,,phonics_beginner,50
The pig digs in the mud with his nose.,,豚は鼻で泥を掘ります。,,phonics_beginner,51
We ride bikes around the park.,,私たちは公園を自転車で走ります。,,phonics_beginner,52
The goat eats the grass on the hill.,,ヤギは丘の草を食べます。,,phonics_beginner,53
She can clap her hands fast.,,彼女は手を速く叩けます。,,phonics_beginner,54
The duck swims in the blue pond.,,アヒルは青い池で泳ぎます。,,phonics_beginner,55
The bat sleeps in the dark cave.,,コウモリは暗い洞窟で眠っています。,,phonics_beginner,56
The boy likes to kick the ball high.,,男の子はボールを高く蹴るのが好きです。,,phonics_beginner,57
The bear sits by the riverbank.,,熊は川岸に座っています。,,phonics_beginner,58
The truck is big and very loud.,,トラックは大きくてとてもうるさいです。,,phonics_beginner,59
We made a fort out of sticks and rocks.,,私たちは棒と岩で砦を作りました。,,phonics_beginner,60
The thoughtful thief thanked the thumb-sized thimble.,,思慮深い泥棒は親指サイズの指ぬいを感謝しました。,,phonics_advanced,1
She saw a shiny ship sailing with silver shoes on board.,,彼女は銀色の靴を積んだ光沢のある船が航海するのを見ました。,,phonics_advanced,2
Charlie chewed on a cheesy chip at the cheerful church picnic.,,チャーリーは陽気な教会のピクニックでチーズ味のチップをかじりました。,,phonics_advanced,3
The white whale whisked past while whistling a wild tune.,,白いクジラがホイッスルを吹きながら通り過ぎました。,,phonics_advanced,4
The photographer took a funny photo of Phil talking on his phone.,,写真家は、フィルが電話で話している面白い写真を撮りました。,,phonics_advanced,5
The quick duck jumped back into the thick pond with a quack.,,アヒルは厚い池にクワックと音を立てて飛び戻りました。,,phonics_advanced,6
The king sang a long song while wearing a sparkling ring.,,王様はきらきらした指輪を身に着けながら長い歌を歌いました。,,phonics_advanced,7
We can see three bees buzzing around the big tree by the sea.,,私たちは大きな木の周りをブンブン飛ぶ三匹のハチを見ます。,,phonics_advanced,8
The train waited in the rain for the painter with the colorful brain.,,電車は色彩豊かな頭脳を持つ画家を待っていました。,,phonics_advanced,9
The goat in the boat floated gently while holding a big coat.,,ヤギは優雅に浮かびながらコートを持っています。,,phonics_advanced,10
The frog jumps over the thick log.,,カエルが厚い丸太を飛び越えます。,「th」 の音は日本語にないため、舌を歯の間に挟んで息を吹くように発音します。「g」 の音は、喉の奥で止める破裂音です。,phonics_intermediate,1
The ship sails to the shore.,,船が岸に向かって航海します。,「sh」 の音は日本語の「し」と似ていますが、もっと強い摩擦音を出します。「s」 と 「sh」 の区別に注意。,phonics_intermediate,2
The cat chased the fish in the dish.,,猫が皿の中の魚を追いかけました。,「ch」 の音は、日本語の「ち」とは異なり、破裂音です。「sh」 と 「ch」 を混同しないように注意します。,phonics_intermediate,3
She likes to sing songs in spring.,,彼女は春に歌を歌うのが好きです。,「ng」 の音は日本語にはなく、鼻に響かせる音です。「s」 と 「sh」 の違いにも気をつけましょう。,phonics_intermediate,4
The boy likes to play with his drum.,,男の子はドラムで遊ぶのが好きです。,「r」 の音は、日本語の「ラ行」とは異なり、舌を口の中でカールさせて発音します。「l」 と 「r」 を明確に区別しましょう。,phonics_intermediate,5
The fox hid behind the thick bush.,,キツネは茂みの後ろに隠れました。,「th」 の音は、無声音（舌を歯の間に挟んで発音）。「sh」 の音は、日本語よりも強い摩擦音を出します。,phonics_intermediate,6
The girl clapped her hands fast.,,女の子は手を速く叩きました。,「r」 と 「l」 の区別に注意。「cl」 の連結音は、日本語にはないため、滑らかに発音する練習が必要です。,phonics_intermediate,7
The ring shines bright in the sun.,,指輪が太陽の中で輝いています。,「ng」 の鼻音と 「r」 のカール音に注意。「sh」 の音を強調して発音しましょう。,phonics_intermediate,8
He caught the ball in the tall grass.,,彼は背の高い草の中でボールを捕まえました。,「th」 の音（無声音）は、舌を歯の間に挟んで発音。「r」 と 「l」 をしっかり区別しましょう。,phonics_intermediate,9
The sheep is sleeping under the tree.,,羊は木の下で眠っています。,「sh」 の音と 「s」 の音を区別すること。「ee」 の長母音も正確に発音しましょう。,phonics_intermediate,10
She sells shells by the sea shore.,,彼女は海岸で貝殻を売っています。,「sh」 と 「s」 の音の区別が重要です。日本語では似た音ですが、英語でははっきり区別する必要があります。,phonics_intermediate,11
The boy throws the ball to the dog.,,男の子は犬にボールを投げました。,「th」 の音（無声音）は、舌を歯の間に置いて発音。「r」 のカール音にも注意します。,phonics_intermediate,12
The king wears a golden crown.,,王様は金の冠をかぶっています。,「ng」 の鼻音をしっかり響かせ、「r」 と 「l」 の音を区別しましょう。「ow」 の二重母音にも注意が必要です。,phonics_intermediate,13
The clock ticks loudly on the wall.,,時計が壁で大きく鳴ります。,「cl」 の連結音と 「ck」 の破裂音をしっかり発音しましょう。「l」 と 「r」 の区別も忘れずに。,phonics_intermediate,14
The bird chirps in the early morning.,,鳥が早朝にさえずります。,「ch」 の破裂音と 「r」 のカール音に注意。「ir」 や 「or」 の音も明確に発音しましょう。,phonics_intermediate,15
The wind whistles through the trees.,,風が木々の間を笛のように吹きます。,「wh」 の音は、日本語にはないので、唇を丸めて息を使って発音しましょう。「th」 の発音にも注意。,phonics_intermediate,16
The queen waved from the tall tower.,,女王は高い塔から手を振りました。,「qu」 の連結音を滑らかに発音し、「r」 のカール音を強調します。,phonics_intermediate,17
The kite flies high in the windy sky.,,凧が風の強い空で高く飛びます。,「k」 の破裂音と 「t」 の音を明瞭に発音しましょう。「i」 と 「y」 の音にも注意します。,phonics_intermediate,18
He puts the book on the thick shelf.,,彼は厚い棚の上に本を置きます。,「th」 の無声音と 「sh」 の摩擦音を明確に区別し、発音しましょう。「f」 の音にも注意。,phonics_intermediate,19
The elephant stomps with a loud thud.,,象が大きな音を立てて足を踏み鳴らします。,「th」 の無声音と 「st」 の連結音をしっかりと発音し、明瞭な音を出すようにします。,phonics_intermediate,20
The bird chirps loudly in the tree.,,鳥が木の中で大きな声でさえずっています。,「ch」の音は、日本語の「ち」と異なり、摩擦音が強調されるため難しい。,phonics_intermediate,21
She caught the fish with a thick net.,,彼女は太い網で魚を捕まえました。,「th」の無声音は日本語にないため、歯の間に舌を置いて発音するのが難しい。,phonics_intermediate,22
The dog dug a hole by the bush.,,犬は茂みのそばに穴を掘りました。,「d」と「g」の破裂音は日本語の濁音と異なり、力強く発音する必要がある。,phonics_intermediate,23
The ring is hidden under the thick book.,,指輪は厚い本の下に隠されています。,「r」と「l」の音の違いは日本語にないため、舌の位置を意識して区別するのが難しい。,phonics_intermediate,24
The boy jumped high in the park.,,男の子は公園で高くジャンプしました。,「j」の破裂音は日本語にないため、強く発音するのが難しい。,phonics_intermediate,25
The king has a big gold crown.,,王様は大きな金の冠を持っています。,「g」と「l」の音の組み合わせは、日本語にはない音の繋がりなので注意が必要。,phonics_intermediate,26
The fox ran fast through the thick fog.,,キツネは厚い霧の中を速く走りました。,「f」と「x」の発音は日本語にないため、舌と唇の使い方に注意する必要がある。,phonics_intermediate,27
The sheep is soft and white.,,羊は柔らかくて白いです。,「sh」の音は日本語の「し」に似ているが、英語では摩擦音を強調して発音する。,phonics_intermediate,28
The girl sings a sweet song every day.,,少女は毎日甘い歌を歌います。,「ng」の鼻音は日本語にはないため、音の響きを鼻に集中させる必要がある。,phonics_intermediate,29
The clock ticks in the quiet room.,,静かな部屋で時計がカチカチと鳴ります。,「ck」の破裂音は、日本語の子音音とは異なり、強く短く発音する必要がある。,phonics_intermediate,30
The queen smiled at the crowd.,,女王は群衆に微笑みました。,「qu」と「n」の音は日本語にはなく、舌の動きを意識して練習する必要がある。,phonics_intermediate,31
The frog hops across the wet grass.,,カエルは濡れた草の上を跳びます。,「h」と「p」の連結音は日本語にないため、滑らかに繋げるのが難しい。,phonics_intermediate,32
The wind blew hard on the tall tree.,,風が背の高い木を強く吹きました。,「bl」の連結音は日本語にはなく、2つの音を自然に繋げる練習が必要。,phonics_intermediate,33
He picks the shells on the shore.,,彼は海岸で貝殻を拾います。,「sh」の摩擦音は、日本語では弱いため、英語の強調された発音に慣れる必要がある。,phonics_intermediate,34
The bear roars in the dark cave.,,熊が暗い洞窟で吼えます。,「r」と「d」の音の違いは日本語にないため、発音を明確に区別する必要がある。,phonics_intermediate,35
The truck drove past the big hill.,,トラックは大きな丘を通り過ぎました。,「wh」の音は日本語にはなく、息をしっかり使って発音する必要がある。,phonics_intermediate,36
The snake slithers through the grass.,,蛇が草の中をスルスルと進んでいます。,「s」と「l」の連結音は日本語にないため、滑らかに繋げて発音するのが難しい。,phonics_intermediate,37
The ship sails over the wide sea.,,船が広い海を航海します。,「sh」と「l」の音の組み合わせは、日本語にはないため、発音を練習する必要がある。,phonics_intermediate,38
The boy swims fast in the pool.,,男の子はプールの中を速く泳ぎます。,「sw」と「p」の音を正確に発音し、音が流れないようにする練習が必要。,phonics_intermediate,39
The elephant trumpets loudly in the forest.,,象が森の中で大きな声でトランペットを吹きます。,「tr」と「mp」の音は、日本語の音の強さとは異なるため、しっかりと強調する必要がある。,phonics_intermediate,40
The bird sings a song in the morning.,,鳥が朝に歌を歌っています。,「ng」の鼻音は日本語にはなく、鼻に響かせる音を練習します。,phonics_intermediate,41
The boy threw the ball over the wall.,,男の子はボールを壁の向こうに投げました。,「th」の無声音は日本語に存在しないため、歯の間に舌を挟んで発音します。,phonics_intermediate,42
She picked up the thick book and read.,,彼女は厚い本を取り上げて読み始めました。,「th」の摩擦音は日本語では難しく、舌の位置に注意が必要です。,phonics_intermediate,43
The frog hops fast through the tall grass.,,カエルは背の高い草の中を速く跳びます。,「f」と「r」の連結音は日本語にないため、滑らかに発音する練習が必要です。,phonics_intermediate,44
The cat hid behind the chair quietly.,,猫は静かに椅子の後ろに隠れました。,「q」の音は日本語にないため、唇を丸めて発音するのが難しいです。,phonics_intermediate,45
The clock ticks slowly in the dark room.,,暗い部屋で時計がゆっくりとカチカチ鳴ります。,「ck」の破裂音は日本語にはないため、しっかりと発音する必要があります。,phonics_intermediate,46
The girl plays with her drum every day.,,少女は毎日ドラムで遊びます。,「dr」の音は日本語に存在しないため、連結して滑らかに発音します。,phonics_intermediate,47
The king rides his horse across the field.,,王様は馬に乗って野原を横切ります。,「r」と「l」の違いを明確にし、発音に集中します。,phonics_intermediate,48
The snake slithers silently through the leaves.,,蛇は葉の間を静かにスルスルと進みます。,「s」と「l」の音は日本語にない組み合わせで、注意して発音します。,phonics_intermediate,49
The dog dug a hole next to the tree.,,犬は木の隣に穴を掘りました。,「d」と「g」の音の違いを強調し、明瞭に発音しましょう。,phonics_intermediate,50
The boy swims in the cool pool at night.,,男の子は夜に冷たいプールで泳ぎます。,「sw」と「p」の音の組み合わせは日本語にないため、音の流れに注意して発音します。,phonics_intermediate,51
The sheep sleeps under the bright moon.,,羊は明るい月の下で眠ります。,「sh」と「p」の音を繋げて、滑らかに発音しましょう。,phonics_intermediate,52
The queen waves to the crowd from the tower.,,女王は塔から群衆に手を振ります。,「w」と「r」の音の区別に注意して発音します。,phonics_intermediate,53
The wind whistles through the open window.,,風が開いた窓を通り抜けて笛のように鳴ります。,「wh」の音は日本語にないため、息を強く使って発音する練習が必要です。,phonics_intermediate,54
The duck waddles across the muddy yard.,,アヒルは泥だらけの庭をよちよち歩きます。,「d」と「l」の音の違いに注意しながら発音します。,phonics_intermediate,55
The fox ran quickly through the foggy forest.,,キツネは霧がかった森を速く走りました。,「r」と「f」の音の違いを意識し、区別して発音します。,phonics_intermediate,56
The fish swims in the small pond by the hill.,,魚は丘のそばの小さな池の中を泳ぎます。,「f」と「sh」の音を明確にし、滑らかに発音しましょう。,phonics_intermediate,57
The lion roars loudly in the hot savannah.,,ライオンが暑いサバンナで大きく吼えます。,「l」と「r」の音の区別に注意しながら発音しましょう。,phonics_intermediate,58
The elephant stomps its feet on the soft ground.,,象が柔らかい地面に足を踏み鳴らします。,「st」の連結音を強調して発音します。,phonics_intermediate,59
The kite flies high in the bright blue sky.,,凧が明るい青空に高く飛んでいます。,「t」と「k」の音の違いに注意し、発音を強調しましょう。,phonics_intermediate,60
"The squirrel is a forager, collecting nuts from the forest.",forager,,,TDA,61
He felt cuckolded when he found out his wife was seeing someone else.,cuckolded,,,TDA,62
The doctor prescribed ophthalmic drops to help with my eye infection.,opthalmic,,,TDA,63
Birds sometimes regurgitate food to feed their babies.,regurgitate,,,TDA,64
The car gave a sudden lurch forward when I hit the gas pedal.,lurch,,,TDA,65
"Don’t get cold feet now, we are almost ready for the big show.",get cold feet,,,TDA,66
She winced in pain when she accidentally stepped on a sharp rock.,wince,,,TDA,67
"A vole ran across the garden, looking for food.",vole,,,TDA,68
The rabbit munched on a small pellet of food in its cage.,munch,,,TDA,69
I used a tweezer to pick out the splinter from my finger.,tweezer,,,TDA,70
He is the scion of a wealthy family that owns the company.,scion,,,TDA,71
The edges of the fabric started to fray after being washed so many times.,fray,,,TDA,73
The artist juxtaposed two very different styles in one painting.,juxtaposed,,,TDA,75
I ate a sweet clementine as a snack after lunch.,clementine,,,TDA,78
She was incredulous when she heard the unbelievable news.,incredulous,,,TDA,79
The coach told the player to wail on the punching bag for practice.,wail on,,,TDA,80
His skin was blotchy from the sunburn.,blotchy,,,TDA,81
"He made a sardonic comment about the situation, mocking it.",sardonic,,,TDA,83
I’m in a quandary about whether to accept the job offer or not.,quandary,,,TDA,84
"In the story, the antagonist always tried to ruin the hero's plans.",antagonist,,,TDA,85
Using 'passed away' is a euphemism for 'died'.,euphemism,,,TDA,86
"They lived in squalor, with broken furniture and no running water.",squalor,,,TDA,87
"After the accident, he was ordered to pay restitution for the damages.",restituion,,,TDA,88
"She is an astute observer, noticing small details that others miss.",astute,,,TDA,89
The family was left destitute after losing everything in the fire.,destitute,,,TDA,90
There was a brief scuffle between the two players on the field.,scuffle,,,TDA,91
The suction effect caused the paper to stick to the table.,suction,,,TDA,92
The word 'well-known' is hyphenated because it’s used as an adjective before the noun.,hyphenated,,,TDA,93
"I had a fleeting thought about taking a walk, but it quickly passed.",a fleeting thought,,,TDA,94
"She was kneeling in the garden, planting flowers.",kneel,,,TDA,95
The phrase 'Don't tread on me' is a warning to others not to infringe on one's rights.,tread on,,,TDA,96
"The word 'home' has a positive connotation, suggesting warmth and comfort.",connotation,,,TDA,97
Manifest destiny was the belief that expanding westward was America's right and destiny.,manifest destiny,,,TDA,98
"Fentanyl is a powerful drug often used for pain relief, but it can be dangerous if misused.",fentanyl,,,TDA,99
Her perseverance through difficult times led her to achieve her goals.,perseverance,,,TDA,100
He felt dejected after not getting the job he had hoped for.,dejected,,,TDA,101
"The hospital was known for its beneficence, always helping those in need.",beneficence,,,TDA,102
"The villain acted with malevolence, wanting to harm others.",malevolence,,,TDA,103
She was endowed with great intelligence and creativity.,endowed,,,TDA,104
"The fish had a phosphorescent glow, lighting up in the dark water.",phosphorescent,,,TDA,105
"The architect drew the building schematically, showing the basic design and layout.",schematically,,,TDA,106
"After a week of rest, he finally began his recuperation from the surgery.",recuperation,,,TDA,107
